AJUSTE PARAMETROS
GENESYS 10S UV-Vis v4.003 2L5P336007

"Barrido,""11:12am 12Jun18"""
"Nombre An lisis,""ESPEC10min"""
"Modo de medici¢n,""Absorbancia"""
"L.O. de inicio,""200.0nm"""
"L.O. final,""1100.0nm"""
"Posicionador de Muestras,""Aut. 6"""
"Velocidad de Barrido,""R pido"""
"Intervalo,""1.0nm"""
"Correcci¢n de Celdas,""Apag."""
"#ID (0=OFF),""1"""
"Auto Almacenamiento,""Apag."""


# ID,1
"L. de onda,""Abs"""
811.0,-0.053
812.0,-0.052
813.0,-0.052
814.0,-0.052
815.0,-0.053
816.0,-0.053
817.0,-0.053
818.0,-0.052
819.0,-0.052
820.0,-0.052
821.0,-0.053
822.0,-0.053
823.0,-0.056
824.0,-0.055
825.0,-0.049
826.0,-0.049
827.0,-0.052
828.0,-0.053
829.0,-0.053
830.0,-0.049
831.0,-0.051
832.0,-0.052
833.0,-0.053
834.0,-0.054
835.0,-0.055
836.0,-0.052
837.0,-0.050
838.0,-0.052
839.0,-0.052
840.0,-0.051
841.0,-0.053
842.0,-0.052
843.0,-0.052
844.0,-0.052
845.0,-0.053
846.0,-0.053
847.0,-0.053
848.0,-0.052
849.0,-0.054
850.0,-0.052
851.0,-0.054
852.0,-0.051
853.0,-0.053
854.0,-0.053
855.0,-0.052
856.0,-0.053
857.0,-0.052
858.0,-0.054
859.0,-0.053
860.0,-0.053
861.0,-0.054
862.0,-0.053
863.0,-0.052
864.0,-0.053
865.0,-0.053
866.0,-0.052
867.0,-0.054
868.0,-0.052
869.0,-0.054
870.0,-0.053
871.0,-0.053
872.0,-0.054
873.0,-0.053
874.0,-0.053
875.0,-0.053
876.0,-0.053
877.0,-0.053
878.0,-0.052
879.0,-0.053
880.0,-0.054
881.0,-0.056
882.0,-0.055
883.0,-0.052
884.0,-0.048
885.0,-0.051
886.0,-0.052
887.0,-0.052
888.0,-0.052
889.0,-0.054
890.0,-0.052
891.0,-0.052
892.0,-0.054
893.0,-0.054
894.0,-0.053
895.0,-0.055
896.0,-0.054
897.0,-0.051
898.0,-0.052
899.0,-0.053
900.0,-0.052
901.0,-0.052
902.0,-0.053
903.0,-0.053
904.0,-0.056
905.0,-0.055
906.0,-0.050
907.0,-0.051
908.0,-0.052
909.0,-0.053
910.0,-0.054
911.0,-0.053
912.0,-0.053
913.0,-0.054
914.0,-0.054
915.0,-0.055
916.0,-0.056
917.0,-0.054
918.0,-0.050
919.0,-0.052
920.0,-0.052
921.0,-0.053
922.0,-0.053
923.0,-0.052
924.0,-0.053
925.0,-0.054
926.0,-0.053
927.0,-0.053
928.0,-0.052
929.0,-0.053
930.0,-0.053
931.0,-0.054
932.0,-0.053
933.0,-0.053
934.0,-0.054
935.0,-0.052
936.0,-0.053
937.0,-0.054
938.0,-0.054
939.0,-0.052
940.0,-0.052
941.0,-0.053
942.0,-0.052
943.0,-0.052
944.0,-0.052
945.0,-0.052
946.0,-0.051
947.0,-0.052
948.0,-0.051
949.0,-0.052
950.0,-0.052
951.0,-0.051
952.0,-0.050
953.0,-0.049
954.0,-0.050
955.0,-0.049
956.0,-0.049
957.0,-0.048
958.0,-0.050
959.0,-0.049
960.0,-0.048
961.0,-0.047
962.0,-0.048
963.0,-0.048
964.0,-0.048
965.0,-0.048
966.0,-0.049
967.0,-0.048
968.0,-0.049
969.0,-0.048
970.0,-0.048
971.0,-0.048
972.0,-0.048
973.0,-0.048
974.0,-0.047
975.0,-0.048
976.0,-0.048
977.0,-0.048
978.0,-0.049
979.0,-0.050
980.0,-0.049
981.0,-0.045
982.0,-0.045
983.0,-0.047
